Problems (4):
content 21453 _a-0000df0b-b44d-8000-9ba2-011c48011c48_18978 "ASC_TASK_REPORT_ENTITY": The content [id=21453 uuid=_a-0000df0b-b44d-8000-9ba2-011c48011c48_18978] was not exported because it contains an invalid precedent: content [uuid=21452 location=Constant Value] cannot be found. (APNX-1-4070-001) (APNX-1-4071-003)
content 25562 _a-0000df0b-b44d-8000-9ba2-011c48011c48_19543 "ASC_ContractModificationsGrid_Section": The content [id=25562 uuid=_a-0000df0b-b44d-8000-9ba2-011c48011c48_19543] was not exported because it contains an invalid precedent: content [uuid=15080 location=Interface Definition] cannot be found. (APNX-1-4070-001) (APNX-1-4071-003)
content 21532 _a-0000df4f-3e48-8000-9ba2-011c48011c48_61389 "Completion Times By Process Name": The content [id=21532 uuid=_a-0000df4f-3e48-8000-9ba2-011c48011c48_61389] was not exported because it contains an invalid precedent: processModel [uuid=292 location=Report Data > Report Context] cannot be found. (APNX-1-4070-001) (APNX-1-4071-003)
content 21474 _a-0000df4f-3e48-8000-9ba2-011c48011c48_61076 "Employee Audit Report Grid": The content [id=21474 uuid=_a-0000df4f-3e48-8000-9ba2-011c48011c48_61076] was not exported because it contains an invalid precedent: processModel [uuid=292 location=Report Data > Report Context] cannot be found. (APNX-1-4070-001) (APNX-1-4071-003)

Success (236):
datatype 3012 {urn:com:appian:types}ASC_Contract "{urn:com:appian:types}ASC_Contract"
datatype 2734 {urn:com:appian:types}ASC_Contract_Documents "{urn:com:appian:types}ASC_Contract_Documents"
datatype 2680 {urn:com:appian:types}ASC_Address "{urn:com:appian:types}ASC_Address"
datatype 2728 {urn:com:appian:types}ASC_Customer "{urn:com:appian:types}ASC_Customer"
datatype 2696 {urn:com:appian:types}ASC_Contract_Modifications "{urn:com:appian:types}ASC_Contract_Modifications"
datatype 2904 {urn:com:appian:types}ASC_ContractModInfo "{urn:com:appian:types}ASC_ContractModInfo"
datatype 2620 {urn:com:appian:types}ASC_ContractModApproval "{urn:com:appian:types}ASC_ContractModApproval"
datatype 2650 {urn:com:appian:types}ASC_Settlement "{urn:com:appian:types}ASC_Settlement"
datatype 2714 {urn:com:appian:types}ASC_ChangeNoticeRequest "{urn:com:appian:types}ASC_ChangeNoticeRequest"
datatype 2834 {urn:com:appian:types:audit}AH_AuditHistory "{urn:com:appian:types:audit}AH_AuditHistory"
datatype 2886 {urn:com:appian:types}ASC_ContractModificationSummary "{urn:com:appian:types}ASC_ContractModificationSummary"
datatype 2962 {urn:com:appian:types}ASC_Products "{urn:com:appian:types}ASC_Products"
dataStore 26150 _a-0000dee6-acf9-8000-9ba2-011c48011c48_7300 "ASC SpiritAero DataStore"
dataStore 17996 _a-0000def3-0227-8000-9ba2-011c48011c48_10564 "ASC ContractDocuments DataStore"
dataStore 16773 _a-0000daa1-9d78-8000-6ee0-010000010000_1019 "AH_AuditHistory_DS"
group 26 _e-0000def3-0203-8000-9aee-01075c01075c_10 "ASC Admins"
group 76 _e-0000df0b-b424-8000-9aee-01075c01075c_60 "ASC Designers"
group 71 _e-0000df0b-b424-8000-9aee-01075c01075c_55 "ASC Users"
group 72 _e-0000df0b-b424-8000-9aee-01075c01075c_56 "ASC Functional Leads"
group 73 _e-0000df0b-b424-8000-9aee-01075c01075c_57 "ASC Accounts"
group 74 _e-0000df0b-b424-8000-9aee-01075c01075c_58 "ASC Contracts Administrators"
group 79 _e-0000df4f-3e02-8000-9aee-01075c01075c_63 "ASC Approvers"
group 66 _e-0000daa1-9d68-8000-6edf-010000010000_14 "AH Audit History Admins"
group 65 _e-0000daa1-9d68-8000-6edf-010000010000_15 "AH Audit History Viewers"
content 6949 _a-0000deba-19b3-8000-9ba2-011c48011c48_32845 "ASC_APP"
content 6950 _a-0000deba-19b3-8000-9ba2-011c48011c48_32848 "ASC_APP Customer"
content 6951 _a-0000deba-19b3-8000-9ba2-011c48011c48_32851 "Customer Logos"
content 6916 _a-0000deba-19b3-8000-9ba2-011c48011c48_32856 "ASC Rules and Constants"
content 6917 _a-0000deba-19b3-8000-9ba2-011c48011c48_32853 "ASC Expression Rules"
content 6919 _a-0000deba-19b3-8000-9ba2-011c48011c48_32858 "ASC Interface Rules"
content 10236 _a-0000def3-0227-8000-9ba2-011c48011c48_10570 "ASC_Document_Knowledge_Center"
content 10237 _a-0000def3-0227-8000-9ba2-011c48011c48_10571 "ASC_Contract_Documents"
content 14950 _a-0000df0b-b44d-8000-9ba2-011c48011c48_15447 "ASC_Contract_Modification_Documents"
content 15337 _a-0000df0b-b44d-8000-9ba2-011c48011c48_15889 "ASC_Contract_Modications_Ref_Docs"
content 15480 _a-0000df0b-b44d-8000-9ba2-011c48011c48_16107 "Boeing"
content 6941 _a-0000dd3a-dada-8000-daab-640000640000_11110 "GLOBAL Rules"
content 6942 _a-0000dd3a-dada-8000-daab-640000640000_11112 "GLOBAL Expression Rules"
content 6943 _a-0000dd3a-dada-8000-daab-640000640000_11122 "GLOBAL_CheckForNull"
content 6944 _a-0000dd3a-dada-8000-daab-640000640000_11313 "GLOBAL_UserFirstLastName"
content 25787 _a-0000df63-1167-8000-9ba2-011c48011c48_110843 "ASC_AUDITHISTORY_TRACKER_VALUES"
content 6952 _a-0000deba-19b3-8000-9ba2-011c48011c48_32852 "Boeing-Logo"
content 10208 _a-0000def3-0227-8000-9ba2-011c48011c48_10542 "ASC_Constants"
content 21465 _a-0000df4f-3e48-8000-9ba2-011c48011c48_61032 "ASC_BOEING_ICON"
content 17846 _a-0000df0b-b44d-8000-9ba2-011c48011c48_19308 "ASC_CREATE_MODIFICATION_TIMEOUT_VALUE"
content 16307 _a-0000df0b-b44d-8000-9ba2-011c48011c48_17227 "ASC_CONTRACT_RECORD_TYPE"
content 10310 _a-0000def3-0227-8000-9ba2-011c48011c48_10675 "ASC_CONTRACTS_ENTITY"
content 10193 _a-0000def3-0227-8000-9ba2-011c48011c48_10527 "ASC Query Rules"
content 21543 _a-0000df4f-3e48-8000-9ba2-011c48011c48_61505 "ASC_getContractModificationsByContract"
content 26153 _a-0000dee6-acf9-8000-9ba2-011c48011c48_7289 "ASC_ContractHistory_Grid"
content 6981 _a-0000dee6-acf9-8000-9ba2-011c48011c48_7309 "ASC Decision Rules"
content 21569 _a-0000def3-0227-8000-9ba2-011c48011c48_10563 "ASC_Documents_Grid"
content 16313 _a-0000def3-0227-8000-9ba2-011c48011c48_10566 "ASC_DOCUMENT_ENTITY"
content 18009 _a-0000df0b-b44d-8000-9ba2-011c48011c48_19525 "ASC_ViewDocument_Form"
content 21460 _a-0000def3-0227-8000-9ba2-011c48011c48_10721 "ASC_DOCUMENT_RECORD_TYPE"
content 16285 571fac17-e2ad-41e6-b60a-2c6295469786 "ASC_getContractById"
content 16287 _a-0000def3-0227-8000-9ba2-011c48011c48_10792 "ASC_getDocumentInfoById"
